,fraud_score,ml_prob,rule_score,iso_anomaly_score,actual_class,is_fraud
263020,0.2,0.0,0.5,-0.17574417110600626,0,0
11378,0.0,0.0,0.0,-0.08143224774028063,0,0
147283,0.222,0.03666666666666667,0.5,-0.0475772561852309,0,0
219439,0.0,0.0,0.0,-0.21593493776765332,0,0
36939,0.006,0.01,0.0,-0.1189501890556916,0,0
243438,0.0,0.0,0.0,-0.2049709452682701,0,0
259448,0.2,0.0,0.5,-0.15959253135871065,0,0
43800,0.0,0.0,0.0,-0.2071988872249419,0,0
66742,0.2,0.0,0.5,-0.20107329365097226,0,0
66499,0.2,0.0,0.5,-0.19125663388549957,0,0
83371,0.20600000000000002,0.01,0.5,-0.011331371344888486,0,0
12890,0.202,0.0033333333333333335,0.5,-0.132820352045957,0,0
81804,0.2,0.0,0.5,-0.1714382878623123,0,0
192849,0.0,0.0,0.0,-0.21138896313053546,0,0
91888,0.0,0.0,0.0,-0.21673687544214437,0,0
248680,0.0,0.0,0.0,-0.20612626130678074,0,0
59051,0.2,0.0,0.5,-0.1801538760629694,0,0
8336,0.0,0.0,0.0,-0.1595435924485064,0,0
118398,0.2,0.0,0.5,-0.15052531780144762,0,0
224464,0.002,0.0033333333333333335,0.0,-0.15007540168078948,0,0
40482,0.2,0.0,0.5,-0.18217207381218797,0,0
254792,0.2,0.0,0.5,-0.19480996160367048,0,0
146793,0.0,0.0,0.0,-0.20847096156393713,0,0
89695,0.0,0.0,0.0,-0.19318169062233603,0,0
108813,0.0,0.0,0.0,-0.16655911643252874,0,0
49034,0.0,0.0,0.0,-0.18413454063549123,0,0
146582,0.0,0.0,0.0,-0.1410730991977457,0,0
248176,0.0,0.0,0.0,-0.1862210284953032,0,0
259391,0.2,0.0,0.5,-0.1681185660130718,0,0
9261,0.202,0.0033333333333333335,0.5,-0.14270690075622383,0,0
188175,0.0,0.0,0.0,-0.16090720091237798,0,0
32822,0.0,0.0,0.0,-0.1725744096313357,0,0
41238,0.0,0.0,0.0,-0.2005697414121873,0,0
182131,0.0,0.0,0.0,-0.19817408260848313,0,0
261008,0.0,0.0,0.0,-0.17069577633463895,0,0
160162,0.2,0.0,0.5,-0.19566572539721905,0,0
278912,0.20400000000000001,0.006666666666666667,0.5,-0.09270130342847693,0,0
202749,0.2,0.0,0.5,-0.17159454258500123,0,0
